variable,description
[civilite],civilite de la personne
[prenom],prenom de la personne
[nom],nom de la personne
[date_naissance],date de naissance
[ville_naissance],ville de naissance
[nationalite],nationalite de la personne
[num_voie_perso],numero de voie personnelle
[voie_perso],nom de voie personnelle
[cp_perso],code postal personnel
[ville_perso],ville personnelle
[nom_pere],nom complet du pere
[nom_mere],nom complet de la mere
[situation_maritale],situation maritale
[nom_conjoint],nom complet du conjoint
[telephone],telephone de la personne
[email],email de la personne
[statut_residence],statut de residence principale
[denomination_societe],nom de la societe
[forme_sociale],forme sociale de la societe
[capital_social],montant du capital social
[capital_lettres],capital social en lettres
[nb_actions],nombre total actions
[montant_sous],montant de la souscription
[num_voie_siege],numero de voie du siege
[voie_siege],nom de voie du siege
[cp_siege],code postal du siege
[ville_siege],ville du siege social
[ville_rcs],ville du RCS
[nom_banque],nom de la banque
[adresse_banque],adresse de la banque
[date_signature],date de signature
[lieu_signature],lieu de signature
[date_cloture_exercice_1],date de cloture du premier exercice
[debut_exercice],date de debut exercice social
[fin_exercice],date de fin exercice social
[fonction_dirigeant],fonction du dirigeant
[qualite_associe],qualite de l associe
[signature],signature de la personne
[adresse_personne_1],adresse de la personne 1
[adresse_personne_2],adresse de la personne 2
[adresse_personne_3],adresse de la personne 3
[adresse_personne_4],adresse de la personne 4
[adresse_personne_5],adresse de la personne 5
[apport_lettres_personne_1],apport en lettres de la personne 1
[apport_lettres_personne_2],apport en lettres de la personne 2
[apport_personne_1],apport de la personne 1
[apport_personne_2],apport de la personne 2
[civilite_personne_1],civilite de la personne 1
[civilite_personne_2],civilite de la personne 2
[cp_bien],code postal du bien
[date_cloture_exercice],date de cloture de l exercice
[date_naissance_personne_1],date de naissance de la personne 1
[date_naissance_personne_2],date de naissance de la personne 2
[date_naissance_personne_3],date de naissance de la personne 3
[date_naissance_personne_4],date de naissance de la personne 4
[date_naissance_personne_5],date de naissance de la personne 5
[date_pv],date du proces-verbal
[date_reunion_lettres],date de reunion en lettres
[departement_naissance_personne_2],departement de naissance de la personne 2
[duree_societe],duree de la societe
[email_personne_1],email de la personne 1
[email_personne_2],email de la personne 2
[email_personne_3],email de la personne 3
[email_personne_4],email de la personne 4
[email_personne_5],email de la personne 5
[heure_reunion],heure de la reunion
[montant_emprunt],montant de l emprunt
[nationalite_personne_1],nationalite de la personne 1
[nationalite_personne_2],nationalite de la personne 2
[nationalite_personne_3],nationalite de la personne 3
[nationalite_personne_4],nationalite de la personne 4
[nationalite_personne_5],nationalite de la personne 5
[nb_parts_lettres_personne_1],nombre de parts en lettres de la personne 1
[nb_parts_lettres_personne_2],nombre de parts en lettres de la personne 2
[nb_parts_personne_1],nombre de parts de la personne 1
[nb_parts_personne_2],nombre de parts de la personne 2
[nb_parts_total],nombre total de parts
[nom_gerant_1],nom du gerant 1
[nom_gerant_2],nom du gerant 2
[nom_mere_personne_1],nom de la mere de la personne 1
[nom_mere_personne_2],nom de la mere de la personne 2
[nom_mere_personne_3],nom de la mere de la personne 3
[nom_mere_personne_4],nom de la mere de la personne 4
[nom_mere_personne_5],nom de la mere de la personne 5
[nom_naissance_personne_1],nom de naissance de la personne 1
[nom_pere_personne_1],nom du pere de la personne 1
[nom_pere_personne_2],nom du pere de la personne 2
[nom_pere_personne_3],nom du pere de la personne 3
[nom_pere_personne_4],nom du pere de la personne 4
[nom_pere_personne_5],nom du pere de la personne 5
[nom_personne_1],nom de la personne 1
[nom_personne_2],nom de la personne 2
[nom_personne_3],nom de la personne 3
[nom_personne_4],nom de la personne 4
[nom_personne_5],nom de la personne 5
[nom_signataire_1],nom du signataire 1
[num_voie_bien],numero de voie du bien
[numero_part_debut_personne_1],numero de debut des parts de la personne 1
[numero_part_debut_personne_2],numero de debut des parts de la personne 2
[numero_part_fin_personne_1],numero de fin des parts de la personne 1
[numero_part_fin_personne_2],numero de fin des parts de la personne 2
[parts_personne_1],nombre de parts de la personne 1
[parts_personne_2],nombre de parts de la personne 2
[parts_personne_3],nombre de parts de la personne 3
[parts_personne_4],nombre de parts de la personne 4
